| Name                     | Version          | License                                                                             | Author                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| astunparse               | 1.6.3            | BSD License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| async-timeout            | 4.0.3            | Apache Software License                                                             | Andrew Svetlov <andrew.svetlov@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                           |
| attrs                    | 21.2.0           | MIT License                                                                         | Hynek Schlawack                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| bcrypt                   | 3.2.0            | Apache Software License                                                             | The Python Cryptographic Authority developers                                                                                                                                                                                                                                                                                                                                                                                                                       |
| beautifulsoup4           | 4.10.0           | MIT License                                                                         | Leonard Richardson                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| beautifulsoup4           | 4.12.3           | MIT License                                                                         | Leonard Richardson <leonardr@segfault.org>                                                                                                                                                                                                                                                                                                                                                                                                                          |
| beniget                  | 0.4.1            | BSD License                                                                         | serge-sans-paille                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| blinker                  | 1.4              | MIT License                                                                         | Jason Kirtland                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| boto3                    | 1.34.92          | Apache Software License                                                             | Amazon Web Services                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| botocore                 | 1.34.92          | Apache Software License                                                             | Amazon Web Services                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| bottle                   | 0.12.19          | MIT License                                                                         | Marcel Hellkamp                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| certifi                  | 2020.6.20        | Mozilla Public License 2.0 (MPL 2.0)                                                | Kenneth Reitz                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| chardet                  | 4.0.0            | GNU Library or Lesser General Public License (LGPL)                                 | Mark Pilgrim                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| click                    | 8.0.3            | BSD License                                                                         | Armin Ronacher                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| colorama                 | 0.4.4            | BSD License                                                                         | Jonathan Hartley                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| command-not-found        | 0.3              | UNKNOWN                                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| contourpy                | 1.2.1            | BSD License                                                                         | Ian Thomas <ianthomas23@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| cryptography             | 3.4.8            | Apache Software License; BSD License                                                | The Python Cryptographic Authority and individual contributors                                                                                                                                                                                                                                                                                                                                                                                                      |
| cupshelpers              | 1.0              | UNKNOWN                                                                             | Tim Waugh                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| cycler                   | 0.11.0           | BSD License                                                                         | Thomas A Caswell                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| cycler                   | 0.12.1           | BSD License                                                                         | Thomas A Caswell <matplotlib-users@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                      |
| datasets                 | 2.19.1           | Apache Software License                                                             | HuggingFace Inc.                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| dbus-python              | 1.2.18           | MIT License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| decorator                | 4.4.2            | BSD License                                                                         | Michele Simionato                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| decord                   | 0.6.0            | Apache Software License                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| defer                    | 1.0.6            | GNU General Public License (GPL)                                                    | Sebastian Heinlein                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| defusedxml               | 0.7.1            | Python Software Foundation License                                                  | Christian Heimes                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| dill                     | 0.3.8            | BSD License                                                                         | Mike McKerns                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| distro                   | 1.7.0            | Apache Software License                                                             | Nir Cohen                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| distro-info              | 1.1+ubuntu0.2    | UNKNOWN                                                                             | Benjamin Drung                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| dm-tree                  | 0.1.8            | Apache Software License                                                             | DeepMind                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| docker                   | 5.0.3            | Apache Software License                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| docker-compose           | 1.29.2           | Apache Software License                                                             | Docker, Inc.                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| dockerpty                | 0.4.1            | Apache Software License                                                             | Chris Corbyn                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| docopt                   | 0.6.2            | MIT License                                                                         | Vladimir Keleshev                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| duplicity                | 0.8.21           | GNU General Public License v2 (GPLv2)                                               | Ben Escoto <ben@emrose.org>                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| exceptiongroup           | 1.2.1            | MIT License                                                                         | Alex Grönholm <alex.gronholm@nextday.fi>                                                                                                                                                                                                                                                                                                                                                                                                                            |
| faiss-gpu                | 1.7.2            | MIT License                                                                         | Kota Yamaguchi                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| fastapi                  | 0.110.2          | MIT License                                                                         | Sebastián Ramírez <tiangolo@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                              |
| fasteners                | 0.14.1           | Apache Software License                                                             | Joshua Harlow                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| ffmpeg                   | 1.4              | MIT Licence                                                                         | SkeyJIA                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| filelock                 | 3.13.1           | The Unlicense (Unlicense)                                                           | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| flake8                   | 7.0.0            | MIT License                                                                         | Tarek Ziade                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| fonttools                | 4.29.1           | MIT License                                                                         | Just van Rossum                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| fonttools                | 4.51.0           | MIT License                                                                         | Just van Rossum                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| frozenlist               | 1.4.1            | Apache Software License                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| fs                       | 2.4.12           | MIT License                                                                         | Will McGugan                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| fsspec                   | 2024.2.0         | BSD License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| future                   | 0.18.2           | MIT License                                                                         | Ed Schofield                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| gast                     | 0.5.2            | BSD License                                                                         | serge-sans-paille                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| gast                     | 0.5.4            | BSD License                                                                         | serge-sans-paille                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| gdown                    | 5.1.0            | MIT License                                                                         | Kentaro Wada <www.kentaro.wada@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                           |
| git-cola                 | 3.12.0           | GPLv2                                                                               | David Aguilar                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| grpcio                   | 1.64.0           | Apache Software License                                                             | The gRPC Authors                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| h11                      | 0.13.0           | MIT License                                                                         | Nathaniel J. Smith                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| h5py                     | 3.11.0           | BSD License                                                                         | Andrew Collette <andrew.collette@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                         |
| html5lib                 | 1.1              | MIT License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| httpcore                 | 1.0.5            | BSD License                                                                         | Tom Christie <tom@tomchristie.com>                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| httplib2                 | 0.20.2           | MIT License                                                                         | Joe Gregorio                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| httpx                    | 0.27.0           | BSD License                                                                         | Tom Christie <tom@tomchristie.com>                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| huggingface-hub          | 0.23.0           | Apache Software License                                                             | Hugging Face, Inc.                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| idna                     | 3.3              | BSD License                                                                         | Kim Davies                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| imageio                  | 2.34.1           | BSD License                                                                         | imageio contributors                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| importlib-metadata       | 4.6.4            | Apache Software License                                                             | Jason R. Coombs                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| importlib_metadata       | 7.1.0            | Apache Software License                                                             | Jason R. Coombs                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| influxdb                 | 5.3.1            | MIT License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| isort                    | 4.3.21           | MIT License                                                                         | Timothy Crosley                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| jeepney                  | 0.7.1            | MIT License                                                                         | Thomas Kluyver                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| jmespath                 | 1.0.1            | MIT License                                                                         | James Saryerwinnie                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| jsonschema               | 3.2.0            | MIT License                                                                         | Julian Berman                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| keyring                  | 23.5.0           | MIT License; Python Software Foundation License                                     | Kang Zhang                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| kiwisolver               | 1.3.2            | BSD License                                                                         | The Nucleic Development Team                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| kiwisolver               | 1.4.5            | BSD License                                                                         | The Nucleic Development Team <sccolbert@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                  |
| language-selector        | 0.1              | UNKNOWN                                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| launchpadlib             | 1.10.16          | GNU Library or Lesser General Public License (LGPL)                                 | The Launchpad developers                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| lazr.restfulclient       | 0.14.4           | GNU Library or Lesser General Public License (LGPL)                                 | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| lazr.uri                 | 1.0.6            | GNU Library or Lesser General Public License (LGPL)                                 | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| lockfile                 | 0.12.2           | MIT License                                                                         | OpenStack                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| louis                    | 3.20.0           | UNKNOWN                                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| lxml                     | 4.8.0            | BSD License                                                                         | lxml dev team                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| lz4                      | 3.1.3+dfsg       | BSD License                                                                         | Jonathan Underwood                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| macaroonbakery           | 1.3.1            | GNU Lesser General Public License v3 (LGPLv3)                                       | Juju UI Team                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| matplotlib               | 3.5.1            | Python Software Foundation License                                                  | John D. Hunter, Michael Droettboom                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| matplotlib               | 3.8.4            | Python Software Foundation License                                                  | John D. Hunter, Michael Droettboom                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| mccabe                   | 0.7.0            | MIT License                                                                         | Tarek Ziade                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| mock                     | 4.0.3            | BSD License                                                                         | Testing Cabal                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| monotonic                | 1.6              | Apache Software License                                                             | Ori Livneh                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| more-itertools           | 8.10.0           | MIT License                                                                         | Erik Rose                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| mpmath                   | 0.0.0            | BSD License                                                                         | Fredrik Johansson                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| mpmath                   | 1.3.0            | BSD License                                                                         | Fredrik Johansson                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| msgpack                  | 1.0.3            | Apache Software License                                                             | Inada Naoki                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| multidict                | 6.0.5            | Apache Software License                                                             | Andrew Svetlov                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| multiprocess             | 0.70.16          | BSD License                                                                         | Mike McKerns                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| netifaces                | 0.11.0           | MIT License                                                                         | Alastair Houghton                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| networkx                 | 3.2.1            | BSD License                                                                         | Aric Hagberg <hagberg@lanl.gov>                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| numpy                    | 1.21.5           | BSD License                                                                         | Travis E. Oliphant et al.                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| numpy                    | 1.26.4           | BSD License                                                                         | Travis E. Oliphant et al.                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| nvidia-cublas-cu11       | 11.11.3.6        | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| nvidia-cuda-cupti-cu11   | 11.8.87          | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| nvidia-cuda-nvrtc-cu11   | 11.8.89          | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                                                                                                              |
| nvidia-cuda-runtime-cu11 | 11.8.89          | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                             |
| nvidia-cudnn-cu11        | 8.7.0.84         | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| nvidia-cufft-cu11        | 10.9.0.58        | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| nvidia-curand-cu11       | 10.3.0.86        | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| nvidia-cusolver-cu11     | 11.4.1.48        | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| nvidia-cusparse-cu11     | 11.7.5.86        | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| nvidia-dali-cuda110      | 1.37.1           | Apache License 2.0                                                                  | NVIDIA Corporation                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| nvidia-nccl-cu11         | 2.20.5           | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| nvidia-nvimgcodec-cu11   | 0.2.0.7          | Apache License 2.0                                                                  | NVIDIA Corporation                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| nvidia-nvtx-cu11         | 11.8.86          | Other/Proprietary License                                                           | Nvidia CUDA Installer Team                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| oauthlib                 | 3.2.0            | BSD License                                                                         | The OAuthlib Community                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| olefile                  | 0.46             | BSD License                                                                         | Philippe Lagadec                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| openai                   | 1.23.6           | Apache Software License                                                             | OpenAI <support@openai.com>                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| opencv-python            | 4.9.0.80         | Apache Software License                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| opencv-python-headless   | 4.9.0.80         | Apache Software License                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| packaging                | 21.3             | Apache Software License; BSD License                                                | Donald Stufft and individual contributors                                                                                                                                                                                                                                                                                                                                                                                                                           |
| packaging                | 24.0             | Apache Software License; BSD License                                                | Donald Stufft <donald@stufft.io>                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| pandas                   | 2.2.2            | BSD License                                                                         | The Pandas Development Team <pandas-dev@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                 |
| paramiko                 | 2.9.3            | GNU Library or Lesser General Public License (LGPL)                                 | Jeff Forcier                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| pbr                      | 5.8.0            | Apache Software License                                                             | OpenStack                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| pexpect                  | 4.8.0            | ISC License (ISCL)                                                                  | Noah Spurrier; Thomas Kluyver; Jeff Quast                                                                                                                                                                                                                                                                                                                                                                                                                           |
| pillow                   | 10.3.0           | Historical Permission Notice and Disclaimer (HPND)                                  | "Jeffrey A. Clark" <aclark@aclark.net>                                                                                                                                                                                                                                                                                                                                                                                                                              |
| platformdirs             | 4.2.2            | MIT License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| ply                      | 3.11             | BSD                                                                                 | David Beazley                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| protobuf                 | 3.12.4           | 3-Clause BSD License                                                                | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| protobuf                 | 4.25.3           | 3-Clause BSD License                                                                | protobuf@googlegroups.com                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| psutil                   | 5.9.0            | BSD License                                                                         | Giampaolo Rodola                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| psutil                   | 5.9.8            | BSD License                                                                         | Giampaolo Rodola                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| ptyprocess               | 0.7.0            | ISC License (ISCL)                                                                  | Thomas Kluyver                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| py-cpuinfo               | 9.0.0            | MIT License                                                                         | Matthew Brennan Jones                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| pyRFC3339                | 1.1              | MIT License                                                                         | Kurt Raschke                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| pyarrow                  | 16.1.0           | Apache Software License                                                             | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| pyarrow-hotfix           | 0.6              | Apache License, Version 2.0                                                         | Antoine Pitrou <antoine@python.org>                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| pyasn1                   | 0.4.8            | BSD License                                                                         | Ilya Etingof                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| pycairo                  | 1.20.1           | GNU Lesser General Public License v2 (LGPLv2); Mozilla Public License 1.1 (MPL 1.1) | Christoph Reiter                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| pycodestyle              | 2.11.1           | MIT License                                                                         | Johann C. Rocholl                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| pycryptodomex            | 3.11.0           | Apache Software License; BSD License; Public Domain                                 | Helder Eijs                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| pycups                   | 2.0.1            | GNU General Public License (GPL)                                                    | Zdenek Dohnal                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| pydantic                 | 2.7.1            | MIT License                                                                         | Samuel Colvin <s@muelcolvin.com>, Eric Jolibois <em.jolibois@gmail.com>, Hasan Ramezani <hasan.r67@gmail.com>, Adrian Garcia Badaracco <1755071+adriangb@users.noreply.github.com>, Terrence Dorsey <terry@pydantic.dev>, David Montague <david@pydantic.dev>, Serge Matveenko <lig@countzero.co>, Marcelo Trylesinski <marcelotryle@gmail.com>, Sydney Runkle <sydneymarierunkle@gmail.com>, David Hewitt <mail@davidhewitt.io>, Alex Hall <alex.mojaki@gmail.com> |
| pydantic_core            | 2.18.2           | MIT License                                                                         | Samuel Colvin <s@muelcolvin.com>                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| pyflakes                 | 3.2.0            | MIT License                                                                         | A lot of people                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| pymacaroons              | 0.13.0           | MIT License                                                                         | Evan Cordell                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| pyparsing                | 2.4.7            | MIT License                                                                         | Paul McGuire                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| pyrsistent               | 0.18.1           | MIT License                                                                         | Tobias Gustafsson                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| pysmi                    | 0.3.2            | BSD License                                                                         | Ilya Etingof                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| pysnmp                   | 4.4.12           | BSD License                                                                         | Ilya Etingof                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| pystache                 | 0.6.0            | MIT License                                                                         | Chris Wanstrath                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| python-apt               | 2.4.0+ubuntu3    | GNU GPL                                                                             | APT Development Team                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| python-dateutil          | 2.8.1            | Apache Software License; BSD License                                                | Gustavo Niemeyer                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| python-dateutil          | 2.9.0.post0      | Apache Software License; BSD License                                                | Gustavo Niemeyer                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| python-debian            | 0.1.43+ubuntu1.1 | DFSG approved; GNU General Public License v2 or later (GPLv2+)                      | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| python-dotenv            | 0.19.2           | BSD License                                                                         | Saurabh Kumar                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| python-dotenv            | 1.0.1            | BSD License                                                                         | Saurabh Kumar                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| python-multipart         | 0.0.9            | Apache Software License                                                             | Andrew Dunham <andrew@du.nham.ca>                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| pythran                  | 0.10.0           | BSD License                                                                         | Serge Guelton                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| pytz                     | 2022.1           | MIT License                                                                         | Stuart Bishop                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| pyxdg                    | 0.27             | GNU Lesser General Public License v2 (LGPLv2)                                       | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| regex                    | 2024.5.10        | Apache Software License                                                             | Matthew Barnett                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| reportlab                | 3.6.8            | BSD License                                                                         | Andy Robinson, Robin Becker, the ReportLab team and the community                                                                                                                                                                                                                                                                                                                                                                                                   |
| requests                 | 2.25.1           | Apache Software License                                                             | Kenneth Reitz                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| s3transfer               | 0.10.1           | Apache Software License                                                             | Amazon Web Services                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| safetensors              | 0.4.3            | Apache Software License                                                             | Nicolas Patry <patry.nicolas@protonmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                        |
| scipy                    | 1.13.0           | BSD License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| scipy                    | 1.8.0            | BSD License                                                                         | UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| screen-resolution-extra  | 0.0.0            | gpl                                                                                 | Alberto Milone                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| seaborn                  | 0.13.2           | BSD License                                                                         | Michael Waskom <mwaskom@gmail.com>                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| six                      | 1.16.0           | MIT License                                                                         | Benjamin Peterson                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
